RSI(14)_value,RSI(14)_status,"STOCH(9,6)_value","STOCH(9,6)_status",STOCHRSI(14)_value,STOCHRSI(14)_status,"MACD(12,26)_value","MACD(12,26)_status",ATR(14)_value,ATR(14)_status,ADX(14)_value,ADX(14)_status,CCI(14)_value,CCI(14)_status,Highs/Lows(14)_value,Highs/Lows(14)_status,UO_value,UO_status,ROC_value,ROC_status,WilliamsR_value,WilliamsR_status,BullBear(13)_value,BullBear(13)_status,Summary_value,Summary_status,Fiyat,Degisim,Hisse,Tarih,MA5_state,MA5_value,MA10_state,MA10_value,MA20_state,MA20_value,MA50_state,MA50_value,MA100_state,MA100_value,MA200_state,MA200_value,Summary_state,Summary_value
41.507,Sell,18.373,Oversold,40.758,Sell,-0.315,Sell,0.3064,Less Volatility,51.646,Sell,-82.2045,Sell,-0.3886,Sell,34.667,Sell,-13.103,Sell,-75.806,Sell,-0.8580,Sell,Buy (0) ,Strong Sell,7.02,+4.46,EKGYO,2023-03-23,AL,6.844,SAT,7.223,SAT,7.761,SAT,7.847,SAT,7.404,AL,5.511,SAT,Buy (4)
40.406,Sell,29.628,Sell,98.805,Overbought,-1.170,Sell,1.1021,Less Volatility,33.892,Neutral,-31.4300,Neutral,0.0000,Neutral,31.093,Sell,-1.531,Sell,-62.745,Sell,-1.0520,Sell,Buy (0) ,Strong Sell,20.52,+1.89,KOZAL,2023-03-23,AL,20.44,SAT,20.63,SAT,21.39,SAT,24.47,SAT,21.43,AL,14.85,SAT,Buy (4)
69.259,Buy,68.837,Buy,0.000,Oversold,9.150,Buy,5.3314,High Volatility,72.854,Overbought,98.0488,Buy,2.9207,Buy,54.274,Buy,48.759,Buy,-28.320,Buy,13.2420,Buy,Buy (9) ,Strong Buy,60.05,-0.74,ASTOR,2023-03-23,SAT,61.36,AL,57.82,AL,50.03,AL,31.31,AL,15.65,AL,7.83,AL,Buy (11)
50.159,Neutral,29.325,Sell,7.802,Oversold,0.225,Buy,0.6100,Less Volatility,40.418,Sell,-68.7587,Sell,-0.2864,Sell,42.214,Sell,5.781,Buy,-77.027,Sell,-0.2980,Sell,Buy (2) ,Strong Sell,10.43,-0.38,YKBNK,2023-03-23,SAT,10.544,SAT,10.933,SAT,10.658,AL,9.786,AL,10.422,AL,8.388,neutral,Buy (6)
100,Overbought,0.000,Oversold,0.000,Oversold,6.190,Buy,2.3300,High Volatility,72.289,Overbought,86.5028,Buy,6.9171,Buy,69.740,Buy,0.000,Neutral,-15.466,Overbought,12.7040,Buy,Buy (5) ,Buy,22.18,-6.41,GOKNR,2023-03-23,SAT,23.14,AL,19.69,AL,10.45,AL,4.18,AL,2.09,AL,1.05,AL,Buy (11)
54.841,Neutral,33.023,Sell,36.369,Sell,0.015,Buy,0.0750,Less Volatility,45.226,Buy,36.2285,Neutral,0.0000,Neutral,37.902,Sell,10.563,Buy,-48.148,Neutral,0.0680,Buy,Buy (4) ,Buy,1.56,+0.65,ADESE,2023-03-23,AL,1.544,AL,1.569,AL,1.507,AL,1.509,SAT,1.598,AL,1.262,AL,Buy (11)
38.163,Sell,15.887,Oversold,10.761,Oversold,-0.093,Sell,0.1057,Less Volatility,27.806,Neutral,-86.5906,Sell,-0.1279,Sell,32.304,Sell,-6.198,Sell,-88.679,Oversold,-0.1600,Sell,Buy (0) ,Strong Sell,2.27,0.00,SKBNK,2023-03-23,SAT,2.274,SAT,2.358,SAT,2.434,SAT,2.556,SAT,2.607,SAT,2.439,SAT,Buy (0)
57.693,Buy,41.794,Sell,1.694,Oversold,0.638,Buy,0.7921,Less Volatility,46.733,Buy,-25.6861,Neutral,-0.0014,Sell,37.558,Sell,16.031,Buy,-44.512,Buy,0.1120,Buy,Buy (6) ,Strong Buy,13.66,-0.29,ISCTR,2023-03-23,SAT,13.948,SAT,14.216,AL,13.289,AL,11.872,AL,11.364,AL,9.176,AL,Buy (8)
50.914,Neutral,22.281,Sell,16.581,Oversold,0.190,Buy,0.9057,Less Volatility,35.581,Buy,-82.8745,Sell,-0.2707,Sell,39.363,Sell,3.389,Buy,-82.993,Oversold,-0.1960,Sell,Buy (3) ,Sell,17.99,+0.33,AKBNK,2023-03-23,AL,17.98,SAT,18.41,SAT,18.24,AL,17.27,AL,17.28,AL,14.16,AL,Buy (7)
54.202,Neutral,37.573,Sell,21.621,Oversold,0.037,Buy,0.1129,High Volatility,38.198,Buy,-25.5319,Neutral,0.0000,Neutral,41.759,Sell,2.793,Buy,-68.889,Sell,0.0880,Buy,Buy (4) ,Buy,1.84,-1.08,METRO,2023-03-23,SAT,1.858,AL,1.838,AL,1.781,AL,1.712,SAT,1.841,AL,1.516,AL,Buy (9)
